TE,nORF,Class,Family,r_s,p_s,r_p,p_p
chr1:65725578:65725706:MIRb,0z1rH3,SINE,MIR,0.733971009,3.84E-70,0.800520479,1.53E-96
chr1:65730055:65730192:L2b,0z1rH3,LINE,L2,0.772536398,2.92E-82,0.815906152,3.58E-103
chr1:66472148:66472252:AluJr,0z1rH3,SINE,Alu,0.774938538,4.47E-83,0.826782025,3.01E-108
chr1:66475650:66475807:L2a,0z1rH3,LINE,L2,0.765606355,6.39E-80,0.81365108,3.66E-102
chr1:65723433:65723597:MIRb,0wq0H6,SINE,MIR,0.784347883,1.92E-86,0.824253886,4.90E-107
chr1:65725120:65725213:MIRc,0wq0H6,SINE,MIR,0.779309687,1.30E-84,0.820521779,2.77E-105
chr1:65727465:65727719:L1MA2,0wq0H6,LINE,L1,0.779143992,1.48E-84,0.803335097,1.04E-97
chr1:65760019:65760196:MIRc,0wq0H6,SINE,MIR,0.77772133,4.72E-84,0.822046748,5.38E-106
chr1:65768518:65768713:MSTD,0wq0H6,LTR,ERVL-MaLR,0.776056831,1.80E-83,0.818547857,2.25E-104
chr1:65769652:65769760:MIRc,0wq0H6,SINE,MIR,0.765025267,9.93E-80,0.801721696,4.87E-97
chr1:65781940:65782281:L2c,0wq0H6,LINE,L2,0.784695148,1.45E-86,0.827530381,1.31E-108
chr1:65791023:65791212:MIR,0wq0H6,SINE,MIR,0.757251029,3.52E-77,0.803683069,7.40E-98
chr1:66470435:66470508:MIRc,0wq0H6,SINE,MIR,0.796093398,7.63E-91,0.81199297,1.98E-101
chr1:66473213:66473267:L3,0wq0H6,LINE,CR1,0.786111645,4.47E-87,0.821057779,1.56E-105
chr1:66472148:66472252:AluJr,fib2H7,SINE,Alu,0.771593089,6.05E-82,0.823557495,1.05E-106
chr1:66472148:66472252:AluJr,2dheH1,SINE,Alu,0.795329692,1.50E-90,0.837778662,9.42E-114
chr1:65730055:65730192:L2b,981yH2,LINE,L2,0.726250563,5.80E-68,0.806227522,6.23E-99
chr1:65755312:65755435:MLT1A,981yH2,LTR,ERVL-MaLR,0.72874893,1.16E-68,0.820549672,2.69E-105
chr1:65765155:65765200:MIRb,981yH2,SINE,MIR,0.731599186,1.81E-69,0.809234343,3.18E-100
chr1:65826715:65826947:MIRb,981yH2,SINE,MIR,0.719331155,4.39E-66,0.810168806,1.25E-100
chr1:65721324:65721422:L2a,7efkH1,LINE,L2,0.773221526,1.73E-82,0.811848671,2.30E-101
chr1:65728545:65728640:L2a,7efkH1,LINE,L2,0.793672561,6.43E-90,0.833207502,2.05E-111
chr1:65763189:65763897:LTR8,7efkH1,LTR,ERV1,0.785023301,1.12E-86,0.827419032,1.48E-108
chr1:65819934:65820153:MIRb,7efkH1,SINE,MIR,0.731957395,1.44E-69,0.802781394,1.76E-97
chr1:66472253:66472626:THE1C,7efkH1,LTR,ERVL-MaLR,0.793074827,1.09E-89,0.824510586,3.70E-107
chr1:66492100:66492407:MIR,7efkH1,SINE,MIR,0.776899331,9.12E-84,0.807102085,2.64E-99
chr1:65725578:65725706:MIRb,8nwmH4,SINE,MIR,0.719700797,3.49E-66,0.800867182,1.10E-96
chr1:65728545:65728640:L2a,8nwmH4,LINE,L2,0.750218669,5.83E-75,0.801971413,3.84E-97
chr1:65730055:65730192:L2b,8nwmH4,LINE,L2,0.724623547,1.60E-67,0.809444179,2.58E-100
chr1:65763189:65763897:LTR8,8nwmH4,LTR,ERV1,0.742863136,9.83E-73,0.801852947,4.30E-97
chr1:66472148:66472252:AluJr,8nwmH4,SINE,Alu,0.772760955,2.49E-82,0.835122044,2.19E-112
chr1:66475650:66475807:L2a,8nwmH4,LINE,L2,0.753587511,5.25E-76,0.816780979,1.44E-103
chr1:66472253:66472626:THE1C,ietnH10,LTR,ERVL-MaLR,0.75098361,3.44E-75,0.801060218,9.15E-97
chr1:66474033:66475588:L2a,ietnH10,LINE,L2,0.786864284,2.34E-87,0.81808667,3.66E-104
chr1:66465019:66465488:L2a,tracer76249,LINE,L2,0.784937756,1.19E-86,0.815142817,7.89E-103
chr1:66469735:66469887:MIRb,tracer76249,SINE,MIR,0.796240905,6.77E-91,0.820856905,1.93E-105
chr1:66481735:66481920:MIR,tracer76249,SINE,MIR,0.787645283,1.20E-87,0.816478888,1.97E-103
chr1:66492100:66492407:MIR,tracer76249,SINE,MIR,0.787158526,1.83E-87,0.825265066,1.61E-107
chr1:66472253:66472626:THE1C,tracer5270,LTR,ERVL-MaLR,0.796029132,7.97E-91,0.811152566,4.64E-101
chr1:66483819:66484132:AluY,tracer112653,SINE,Alu,0.769493936,3.15E-81,0.804302907,4.06E-98
chr1:65441109:65442007:ERV3-16A3_I-int,tracer4654,LTR,ERVL,0.79242068,1.84E-89,0.807008176,2.89E-99
chr1:65763189:65763897:LTR8,tracer10022,LTR,ERV1,0.781454777,2.19E-85,0.815752443,4.20E-103
chr1:66465019:66465488:L2a,tracer10022,LINE,L2,0.795063317,1.85E-90,0.811535088,3.16E-101
chr1:66472148:66472252:AluJr,tracer10022,SINE,Alu,0.787827115,1.04E-87,0.821401889,1.08E-105
chr1:66472846:66473117:AluSx1,tracer10022,SINE,Alu,0.779740493,9.24E-85,0.802624279,2.05E-97
chr1:66481735:66481920:MIR,tracer10022,SINE,MIR,0.78543037,7.92E-87,0.802926052,1.54E-97
chr1:66492100:66492407:MIR,tracer10022,SINE,MIR,0.790496002,1.00E-88,0.813544497,4.08E-102
chr1:65763189:65763897:LTR8,tracer11791,LTR,ERV1,0.777821364,4.38E-84,0.807925928,1.17E-99
chr1:66473213:66473267:L3,tracer11791,LINE,CR1,0.79834592,9.86E-92,0.809615708,2.17E-100
chr1:6581868:6582087:MIRb,tracer108565,SINE,MIR,0.793702925,6.34E-90,0.804052588,5.18E-98
chr1:6581868:6582087:MIRb,tracer3540,SINE,MIR,0.78415429,2.25E-86,0.800174292,2.12E-96
chr1:66517576:66517845:LTR16A,bknvH1,LTR,ERVL,0.806261968,1.39E-95,0.82226893,4.24E-106
chr1:66528069:66528422:L3,bknvH1,LINE,CR1,0.823635257,3.59E-103,0.832458187,4.87E-111
chr1:66554778:66554938:MIRc,bknvH1,SINE,MIR,0.811307674,1.03E-97,0.817525465,6.60E-104
chr1:66564147:66564555:L4,bknvH1,LINE,RTE,0.808276508,1.98E-96,0.821966794,5.87E-106
chr1:66573989:66574392:L1M2,bknvH1,LINE,L1,0.825958991,3.04E-104,0.841932172,6.12E-116
chr1:66579645:66580010:MLT1A0,bknvH1,LTR,ERVL-MaLR,0.824271679,1.82E-103,0.837039771,2.27E-113
chr1:66592272:66593025:L1MC4a,bknvH1,LINE,L1,0.829955703,3.77E-106,0.841116274,1.66E-115
chr1:66597935:66598135:MIRb,bknvH1,SINE,MIR,0.804852098,5.22E-95,0.817785958,5.02E-104
chr1:66615279:66615541:AluJr4,bknvH1,SINE,Alu,0.808668626,1.38E-96,0.822202999,4.55E-106
chr1:66631142:66632136:L1MB7,bknvH1,LINE,L1,0.832395347,2.52E-107,0.849222218,6.17E-120
chr1:66538927:66539131:MIRb,3wobH2,SINE,MIR,0.800538947,2.96E-93,0.83074083,3.49E-110
chr1:66623876:66624922:L1MA6,3wobH2,LINE,L1,0.81202567,5.11E-98,0.8236263,9.71E-107
chr1:66555910:66556069:X7B_LINE,cwydH1,LINE,CR1,0.803449315,1.97E-94,0.839750234,8.78E-115
chr1:66573989:66574392:L1M2,cwydH1,LINE,L1,0.807888391,2.85E-96,0.836785842,3.08E-113
chr1:66592272:66593025:L1MC4a,cwydH1,LINE,L1,0.80118847,1.62E-93,0.806974956,2.99E-99
chr1:66609337:66609745:MLT1J,cwydH1,LTR,ERVL-MaLR,0.810398163,2.52E-97,0.83885603,2.59E-114
chr1:66623876:66624922:L1MA6,0z1rH3,LINE,L1,0.841444407,7.78E-112,0.853127588,3.64E-122
chr1:66507119:66507478:L2c,5sz1H1,LINE,L2,0.870201136,1.58E-128,0.867631116,4.76E-131
chr1:66512855:66513063:MIR,5sz1H1,SINE,MIR,0.808367441,1.84E-96,0.808422152,7.14E-100
chr1:66514805:66514946:MIR3,5sz1H1,SINE,MIR,0.808411523,1.77E-96,0.808952232,4.22E-100
chr1:66517576:66517845:LTR16A,5sz1H1,LTR,ERVL,0.839757096,5.60E-111,0.834828677,3.09E-112
chr1:66520974:66521129:MIRb,5sz1H1,SINE,MIR,0.831944016,4.16E-107,0.82767215,1.12E-108
chr1:66522020:66522143:MLT1D,5sz1H1,LTR,ERVL-MaLR,0.841609177,6.45E-112,0.836997355,2.39E-113
chr1:66522244:66522672:MLT1D,5sz1H1,LTR,ERVL-MaLR,0.85281368,5.66E-118,0.849384973,4.99E-120
chr1:66528069:66528422:L3,5sz1H1,LINE,CR1,0.835283341,9.72E-109,0.824374952,4.29E-107
chr1:66535767:66535899:L2c,5sz1H1,LINE,L2,0.83650162,2.41E-109,0.835156491,2.11E-112
chr1:66538927:66539131:MIRb,5sz1H1,SINE,MIR,0.852670027,6.71E-118,0.851194438,4.70E-121
chr1:66539326:66539664:L3,5sz1H1,LINE,CR1,0.867120603,1.49E-126,0.861421395,4.02E-127
chr1:66543083:66543270:L2c,5sz1H1,LINE,L2,0.833779758,5.29E-108,0.832613232,4.07E-111
chr1:66545233:66545380:L3b,5sz1H1,LINE,CR1,0.834029456,4.04E-108,0.826256926,5.40E-108
chr1:66548700:66549021:L2,5sz1H1,LINE,L2,0.838010752,4.25E-110,0.833380232,1.68E-111
chr1:66554393:66554766:MLT1I,5sz1H1,LTR,ERVL-MaLR,0.858448531,3.23E-121,0.858789374,1.63E-125
chr1:66554778:66554938:MIRc,5sz1H1,SINE,MIR,0.804617532,6.53E-95,0.802032131,3.62E-97
chr1:66555612:66555812:L3,5sz1H1,LINE,CR1,0.808312415,1.93E-96,0.806974733,2.99E-99
chr1:66555910:66556069:X7B_LINE,5sz1H1,LINE,CR1,0.834627036,2.03E-108,0.832626767,4.01E-111
chr1:66560837:66561055:MIRb,5sz1H1,SINE,MIR,0.815883504,1.10E-99,0.819280023,1.04E-104
chr1:66564147:66564555:L4,5sz1H1,LINE,RTE,0.84687318,9.96E-115,0.84440735,2.84E-117
chr1:66565537:66565751:L2a,5sz1H1,LINE,L2,0.836297855,2.98E-109,0.841364433,1.23E-115
chr1:66573989:66574392:L1M2,5sz1H1,LINE,L1,0.847375813,5.42E-115,0.846397702,2.31E-118
chr1:66576251:66576478:MIR,5sz1H1,SINE,MIR,0.840095576,3.76E-111,0.831629842,1.26E-110
chr1:66579645:66580010:MLT1A0,5sz1H1,LTR,ERVL-MaLR,0.817026874,3.42E-100,0.821168562,1.38E-105
chr1:66584481:66584629:L2c,5sz1H1,LINE,L2,0.819684154,2.17E-101,0.824191732,5.24E-107
chr1:66585363:66585803:MLT1C,5sz1H1,LTR,ERVL-MaLR,0.83521136,1.04E-108,0.833108927,2.30E-111
chr1:66587739:66587988:MIR,5sz1H1,SINE,MIR,0.803716893,1.54E-94,0.809243316,3.15E-100
chr1:66592272:66593025:L1MC4a,5sz1H1,LINE,L1,0.83642147,2.62E-109,0.829705709,1.13E-109
chr1:66596155:66596594:LTR16A,5sz1H1,LTR,ERVL,0.840505265,2.38E-111,0.839526578,1.15E-114
chr1:66600211:66600438:MIRc,5sz1H1,SINE,MIR,0.825670585,4.11E-104,0.821505391,9.64E-106
chr1:66603920:66604191:AluSx1,5sz1H1,SINE,Alu,0.841713834,5.76E-112,0.840440917,3.80E-115
chr1:66609337:66609745:MLT1J,5sz1H1,LTR,ERVL-MaLR,0.881265531,5.21E-136,0.877890122,5.41E-138
chr1:66615279:66615541:AluJr4,5sz1H1,SINE,Alu,0.805361663,3.27E-95,0.796902967,4.56E-95
chr1:66619704:66620017:L2c,5sz1H1,LINE,L2,0.804420209,7.87E-95,0.812410649,1.30E-101
chr1:66622188:66623159:L2a,5sz1H1,LINE,L2,0.853288414,3.14E-118,0.847961333,3.13E-119
chr1:66623876:66624922:L1MA6,5sz1H1,LINE,L1,0.895573533,1.37E-146,0.890088541,4.09E-147
chr1:66627509:66627741:MIRb,5sz1H1,SINE,MIR,0.839528977,7.28E-111,0.835557687,1.31E-112
chr1:66631142:66632136:L1MB7,5sz1H1,LINE,L1,0.836940441,1.47E-109,0.830762193,3.41E-110
chr1:66632435:66633334:L1MB7,5sz1H1,LINE,L1,0.878863344,2.65E-134,0.873092846,1.14E-134
chr1:66642897:66643075:L2a,5sz1H1,LINE,L2,0.855225423,2.49E-119,0.853201756,3.29E-122
chr1:66661231:66661375:MIRb,5sz1H1,SINE,MIR,0.808737055,1.30E-96,0.807774449,1.36E-99
chr1:66661876:66662042:MIR3,5sz1H1,SINE,MIR,0.808354956,1.86E-96,0.814497527,1.54E-102
chr1:66727942:66728016:MIR,5sz1H1,SINE,MIR,0.8028243,3.53E-94,0.798612602,9.24E-96
chr1:66743506:66743741:MIR,5sz1H1,SINE,MIR,0.840934376,1.43E-111,0.831128619,2.24E-110
chr1:66745084:66745306:AluSz,5sz1H1,SINE,Alu,0.836293693,2.98E-109,0.836733576,3.27E-113
chr1:66750195:66750361:FAM,5sz1H1,SINE,Alu,0.814346166,5.24E-99,0.819330771,9.83E-105
chr1:66754100:66754188:MIR,5sz1H1,SINE,MIR,0.80242802,5.10E-94,0.794470078,4.31E-94
chr1:66761589:66761968:L2c,5sz1H1,LINE,L2,0.812192136,4.34E-98,0.814836188,1.08E-102
chr1:66768518:66768861:L2c,5sz1H1,LINE,L2,0.850659187,8.63E-117,0.84212833,4.81E-116
chr1:66775030:66775174:MIRc,5sz1H1,SINE,MIR,0.800015506,4.83E-93,0.799120366,5.73E-96
chr1:66775299:66775460:MIRc,5sz1H1,SINE,MIR,0.803642754,1.65E-94,0.799608585,3.62E-96
chr1:66788683:66789242:L2c,5sz1H1,LINE,L2,0.820370515,1.07E-101,0.821791652,7.09E-106
chr1:66507119:66507478:L2c,0wq0H6,LINE,L2,0.859437766,8.35E-122,0.87645838,5.49E-137
chr1:66512855:66513063:MIR,0wq0H6,SINE,MIR,0.885303856,6.60E-139,0.89063845,1.50E-147
chr1:66514805:66514946:MIR3,0wq0H6,SINE,MIR,0.894547459,8.13E-146,0.892874741,2.38E-149
chr1:66517576:66517845:LTR16A,0wq0H6,LTR,ERVL,0.878035641,8.57E-134,0.892557997,4.31E-149
chr1:66519259:66519544:AluSq2,0wq0H6,SINE,Alu,0.847072939,7.85E-115,0.84998896,2.28E-120
chr1:66520142:66520221:L1MB1,0wq0H6,LINE,L1,0.848278556,1.77E-115,0.858101983,4.23E-125
chr1:66520974:66521129:MIRb,0wq0H6,SINE,MIR,0.889925272,2.95E-142,0.898300841,6.94E-154
chr1:66522020:66522143:MLT1D,0wq0H6,LTR,ERVL-MaLR,0.823281346,5.24E-103,0.83432751,5.56E-112
chr1:66522244:66522672:MLT1D,0wq0H6,LTR,ERVL-MaLR,0.896170188,5.41E-147,0.89632594,3.32E-152
chr1:66527419:66527619:L1PA8,0wq0H6,LINE,L1,0.852904774,5.13E-118,0.854049826,1.06E-122
chr1:66528069:66528422:L3,0wq0H6,LINE,CR1,0.896260973,5.41E-147,0.893353771,9.69E-150
chr1:66532449:66532611:MIRb,0wq0H6,SINE,MIR,0.83344914,7.69E-108,0.836101387,6.92E-113
chr1:66533549:66533786:L1PA4,0wq0H6,LINE,L1,0.810347607,2.63E-97,0.818051672,3.80E-104
chr1:66535767:66535899:L2c,0wq0H6,LINE,L2,0.87258082,4.20E-130,0.882180323,4.37E-141
chr1:66538927:66539131:MIRb,0wq0H6,SINE,MIR,0.831749806,5.15E-107,0.854487935,5.88E-123
chr1:66539326:66539664:L3,0wq0H6,LINE,CR1,0.890355154,1.52E-142,0.897646397,2.52E-153
chr1:66543083:66543270:L2c,0wq0H6,LINE,L2,0.866203348,5.62E-126,0.883331357,6.18E-142
chr1:66543428:66543555:MIR,0wq0H6,SINE,MIR,0.810557693,2.17E-97,0.8400979,5.76E-115
chr1:66545233:66545380:L3b,0wq0H6,LINE,CR1,0.882522652,6.94E-137,0.882883381,1.33E-141
chr1:66548150:66548382:MIR,0wq0H6,SINE,MIR,0.802403821,5.20E-94,0.823790208,8.12E-107
chr1:66548700:66549021:L2,0wq0H6,LINE,L2,0.823116884,6.12E-103,0.833841412,9.80E-112
chr1:66554393:66554766:MLT1I,0wq0H6,LTR,ERVL-MaLR,0.881262757,5.21E-136,0.902503366,1.41E-157
chr1:66554778:66554938:MIRc,0wq0H6,SINE,MIR,0.837791759,5.45E-110,0.861575408,3.23E-127
chr1:66555612:66555812:L3,0wq0H6,LINE,CR1,0.878413734,4.82E-134,0.885708492,1.01E-143
chr1:66555910:66556069:X7B_LINE,0wq0H6,LINE,CR1,0.862718983,8.68E-124,0.876154298,8.94E-137
chr1:66557684:66557757:L2c,0wq0H6,LINE,L2,0.843588881,5.93E-113,0.856387024,4.47E-124
chr1:66560837:66561055:MIRb,0wq0H6,SINE,MIR,0.885312642,6.60E-139,0.89603929,5.78E-152
chr1:66564147:66564555:L4,0wq0H6,LINE,RTE,0.889125931,1.13E-141,0.89898192,1.79E-154
chr1:66565537:66565751:L2a,0wq0H6,LINE,L2,0.857574588,1.05E-120,0.875688801,1.88E-136
chr1:66566036:66566190:L2a,0wq0H6,LINE,L2,0.822727386,9.21E-103,0.848219748,2.25E-119
chr1:66573989:66574392:L1M2,0wq0H6,LINE,L1,0.878534113,4.14E-134,0.891364528,3.94E-148
chr1:66576251:66576478:MIR,0wq0H6,SINE,MIR,0.878672063,3.46E-134,0.889056726,2.66E-146
chr1:66577958:66578065:L2a,0wq0H6,LINE,L2,0.803911719,1.28E-94,0.80247378,2.37E-97
chr1:66579645:66580010:MLT1A0,0wq0H6,LTR,ERVL-MaLR,0.877299495,2.72E-133,0.886873564,1.31E-144
chr1:66584481:66584629:L2c,0wq0H6,LINE,L2,0.848910685,8.23E-116,0.870399736,7.28E-133
chr1:66585363:66585803:MLT1C,0wq0H6,LTR,ERVL-MaLR,0.876650743,7.46E-133,0.884054922,1.79E-142
chr1:66587739:66587988:MIR,0wq0H6,SINE,MIR,0.828795972,1.36E-105,0.855544095,1.41E-123
chr1:66589514:66589725:MIRc,0wq0H6,SINE,MIR,0.813304833,1.47E-98,0.839172717,1.77E-114
chr1:66592272:66593025:L1MC4a,0wq0H6,LINE,L1,0.90815677,1.95E-157,0.9005707,7.37E-156
chr1:66594805:66594897:L2c,0wq0H6,LINE,L2,0.822879671,7.86E-103,0.845865172,4.53E-118
chr1:66596155:66596594:LTR16A,0wq0H6,LTR,ERVL,0.873957087,5.05E-131,0.8853698,1.83E-143
chr1:66597935:66598135:MIRb,0wq0H6,SINE,MIR,0.868355683,2.42E-127,0.87582921,1.50E-136
chr1:66600211:66600438:MIRc,0wq0H6,SINE,MIR,0.883711955,9.69E-138,0.890085618,4.11E-147
chr1:66602104:66602407:AluSx1,0wq0H6,SINE,Alu,0.806094727,1.63E-95,0.820890007,1.87E-105
chr1:66603920:66604191:AluSx1,0wq0H6,SINE,Alu,0.853940712,1.34E-118,0.875870179,1.41E-136
chr1:66609337:66609745:MLT1J,0wq0H6,LTR,ERVL-MaLR,0.893112775,1.05E-144,0.90526074,4.30E-160
chr1:66615279:66615541:AluJr4,0wq0H6,SINE,Alu,0.851588156,2.65E-117,0.860327681,1.89E-126
chr1:66617383:66617527:L2c,0wq0H6,LINE,L2,0.84548489,5.69E-114,0.849528824,4.14E-120
chr1:66619704:66620017:L2c,0wq0H6,LINE,L2,0.832232093,3.02E-107,0.850652344,9.57E-121
chr1:66622188:66623159:L2a,0wq0H6,LINE,L2,0.831137121,1.01E-106,0.840486709,3.59E-115
chr1:66623171:66623495:L2a,0wq0H6,LINE,L2,0.816559076,5.53E-100,0.837716613,1.01E-113
chr1:66623876:66624922:L1MA6,0wq0H6,LINE,L1,0.886772913,6.28E-140,0.896945863,9.94E-153
chr1:66627509:66627741:MIRb,0wq0H6,SINE,MIR,0.876282823,1.30E-132,0.888077493,1.54E-145
chr1:66631142:66632136:L1MB7,0wq0H6,LINE,L1,0.888582452,2.73E-141,0.890683464,1.38E-147
chr1:66632435:66633334:L1MB7,0wq0H6,LINE,L1,0.915711829,1.07E-164,0.923044179,1.98E-178
chr1:66637273:66637498:MIRb,0wq0H6,SINE,MIR,0.821247232,4.38E-102,0.844643346,2.11E-117
chr1:66642897:66643075:L2a,0wq0H6,LINE,L2,0.829927319,3.86E-106,0.852876488,5.08E-122
chr1:66661231:66661375:MIRb,0wq0H6,SINE,MIR,0.830377238,2.36E-106,0.861206936,5.45E-127
chr1:66680435:66680563:L3,0wq0H6,LINE,CR1,0.835210898,1.04E-108,0.848087028,2.67E-119
chr1:66684397:66684523:L2b,0wq0H6,LINE,L2,0.832524487,2.22E-107,0.855050248,2.75E-123
chr1:66706204:66706426:L2a,0wq0H6,LINE,L2,0.812584748,2.98E-98,0.844158869,3.87E-117
chr1:66734402:66734699:L2c,0wq0H6,LINE,L2,0.824976826,8.61E-104,0.850266329,1.59E-120
chr1:66742523:66742640:MIR,0wq0H6,SINE,MIR,0.815775949,1.23E-99,0.845523316,6.98E-118
chr1:66743506:66743741:MIR,0wq0H6,SINE,MIR,0.812310048,3.89E-98,0.835320746,1.74E-112
chr1:66745730:66745896:MIRc,0wq0H6,SINE,MIR,0.837262891,1.01E-109,0.859829128,3.81E-126
chr1:66747029:66747257:L3,0wq0H6,LINE,CR1,0.856167494,7.09E-120,0.87350301,5.98E-135
chr1:66748289:66748415:MIRc,0wq0H6,SINE,MIR,0.813384983,1.36E-98,0.837453586,1.39E-113
chr1:66758132:66758300:MIRb,0wq0H6,SINE,MIR,0.83137156,7.79E-107,0.858747619,1.72E-125
chr1:66768518:66768861:L2c,0wq0H6,LINE,L2,0.885893883,2.72E-139,0.895616156,1.31E-151
chr1:66770502:66770584:L2b,0wq0H6,LINE,L2,0.809606374,5.51E-97,0.84406108,4.37E-117
chr1:66775030:66775174:MIRc,0wq0H6,SINE,MIR,0.820780821,7.02E-102,0.841459181,1.09E-115
chr1:66775299:66775460:MIRc,0wq0H6,SINE,MIR,0.814225479,5.90E-99,0.841857912,6.70E-116
chr1:66788683:66789242:L2c,0wq0H6,LINE,L2,0.869543136,4.17E-128,0.886646784,1.95E-144
chr1:66790060:66790244:MIRc,0wq0H6,SINE,MIR,0.805078676,4.25E-95,0.824167474,5.38E-107
chr1:66792973:66793186:L1ME4a,0wq0H6,LINE,L1,0.801681053,1.03E-93,0.81726185,8.70E-104
chr1:66794908:66795046:L1MC3,0wq0H6,LINE,L1,0.802535298,4.64E-94,0.831562415,1.36E-110
chr1:66623876:66624922:L1MA6,fib2H7,LINE,L1,0.814685079,3.76E-99,0.825604513,1.11E-107
chr1:66507119:66507478:L2c,2dheH1,LINE,L2,0.811474331,8.79E-98,0.828041175,7.39E-109
chr1:66538927:66539131:MIRb,2dheH1,SINE,MIR,0.803219655,2.44E-94,0.834376005,5.26E-112
chr1:66539326:66539664:L3,2dheH1,LINE,CR1,0.800177964,4.16E-93,0.811301223,4.00E-101
chr1:66623876:66624922:L1MA6,2dheH1,LINE,L1,0.824806045,1.02E-103,0.839622445,1.03E-114
chr1:66538927:66539131:MIRb,7efkH1,SINE,MIR,0.812817614,2.38E-98,0.84795336,3.17E-119
chr1:66548700:66549021:L2,7efkH1,LINE,L2,0.813114785,1.78E-98,0.841454771,1.10E-115
chr1:66609337:66609745:MLT1J,7efkH1,LTR,ERVL-MaLR,0.80504954,4.35E-95,0.827231588,1.83E-108
chr1:66623876:66624922:L1MA6,7efkH1,LINE,L1,0.841739729,5.66E-112,0.860625811,1.24E-126
chr1:66743506:66743741:MIR,7efkH1,SINE,MIR,0.808000601,2.58E-96,0.839781293,8.46E-115
chr1:66507119:66507478:L2c,8nwmH4,LINE,L2,0.810919786,1.51E-97,0.83469544,3.62E-112
chr1:66538927:66539131:MIRb,8nwmH4,SINE,MIR,0.82564742,4.18E-104,0.855329354,1.88E-123
chr1:66548700:66549021:L2,8nwmH4,LINE,L2,0.800896724,2.13E-93,0.826168721,5.95E-108
chr1:66623876:66624922:L1MA6,8nwmH4,LINE,L1,0.840326579,2.88E-111,0.848061178,2.76E-119
chr1:66517576:66517845:LTR16A,tracer76249,LTR,ERVL,0.820335526,1.11E-101,0.845852325,4.61E-118
chr1:66553305:66553712:L1PA3,tracer76249,LINE,L1,0.807676456,3.50E-96,0.821075091,1.53E-105
chr1:66555612:66555812:L3,tracer76249,LINE,CR1,0.81310862,1.78E-98,0.836652306,3.60E-113
chr1:66555910:66556069:X7B_LINE,tracer76249,LINE,CR1,0.823207053,5.64E-103,0.847286021,7.44E-119
chr1:66573989:66574392:L1M2,tracer76249,LINE,L1,0.813964991,7.61E-99,0.846141487,3.19E-118
chr1:66579645:66580010:MLT1A0,tracer76249,LTR,ERVL-MaLR,0.825338271,5.83E-104,0.856069995,6.89E-124
chr1:66585363:66585803:MLT1C,tracer76249,LTR,ERVL-MaLR,0.801360176,1.39E-93,0.827821703,9.45E-109
chr1:66592272:66593025:L1MC4a,tracer76249,LINE,L1,0.802103258,6.90E-94,0.815286221,6.80E-103
chr1:66609337:66609745:MLT1J,tracer76249,LTR,ERVL-MaLR,0.812594889,2.96E-98,0.84714879,8.87E-119
chr1:66631142:66632136:L1MB7,tracer76249,LINE,L1,0.822687157,9.55E-103,0.837386414,1.51E-113
chr1:66747029:66747257:L3,tracer76249,LINE,CR1,0.801616656,1.09E-93,0.8279663,8.04E-109
chr1:66623876:66624922:L1MA6,tracer5270,LINE,L1,0.820955977,5.94E-102,0.827263982,1.76E-108
chr1:66631142:66632136:L1MB7,tracer5270,LINE,L1,0.802466289,4.94E-94,0.810911109,5.92E-101
chr1:66787301:66788377:L1P1,tracer5270,LINE,L1,0.824867904,9.63E-104,0.82822638,6.00E-109
chr1:66573989:66574392:L1M2,tracer112653,LINE,L1,0.817967865,1.29E-100,0.835404875,1.57E-112
chr1:66631142:66632136:L1MB7,tracer112653,LINE,L1,0.806907632,7.43E-96,0.824663992,3.12E-107
chr1:66748289:66748415:MIRc,tracer112653,SINE,MIR,0.803483379,1.91E-94,0.832977134,2.67E-111
chr1:66787301:66788377:L1P1,tracer112653,LINE,L1,0.827927732,3.52E-105,0.851131497,5.11E-121
chr1:66507119:66507478:L2c,tracer10022,LINE,L2,0.818593806,6.75E-101,0.83659504,3.86E-113
chr1:66517576:66517845:LTR16A,tracer10022,LTR,ERVL,0.80525346,3.62E-95,0.819644181,7.05E-105
chr1:66522244:66522672:MLT1D,tracer10022,LTR,ERVL-MaLR,0.812555893,3.05E-98,0.8340457,7.73E-112
chr1:66528069:66528422:L3,tracer10022,LINE,CR1,0.803346199,2.17E-94,0.804062527,5.13E-98
chr1:66538927:66539131:MIRb,tracer10022,SINE,MIR,0.816522392,5.71E-100,0.839081449,1.97E-114
chr1:66539326:66539664:L3,tracer10022,LINE,CR1,0.82311858,6.12E-103,0.835991234,7.88E-113
chr1:66555910:66556069:X7B_LINE,tracer10022,LINE,CR1,0.806028757,1.73E-95,0.822190501,4.61E-106
chr1:66564147:66564555:L4,tracer10022,LINE,RTE,0.812274289,4.02E-98,0.815383509,6.15E-103
chr1:66573989:66574392:L1M2,tracer10022,LINE,L1,0.844888081,1.19E-113,0.848465797,1.64E-119
chr1:66579645:66580010:MLT1A0,tracer10022,LTR,ERVL-MaLR,0.808133927,2.27E-96,0.826553976,3.88E-108
chr1:66585363:66585803:MLT1C,tracer10022,LTR,ERVL-MaLR,0.811577293,7.96E-98,0.82767412,1.11E-108
chr1:66592272:66593025:L1MC4a,tracer10022,LINE,L1,0.806427503,1.19E-95,0.804156745,4.68E-98
chr1:66609337:66609745:MLT1J,tracer10022,LTR,ERVL-MaLR,0.838916446,1.51E-110,0.855398977,1.72E-123
